"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","522","TC-LP-025: Verify case sensitivity of login","firefox","2026-08-26","passed","2026-08-26","Visual User","login.spec.ts","",""
"","512","TC-LP-002: Verify login with incorrect password","firefox","2026-08-26","passed","2026-08-26","Standard User","login.spec.ts","",""
"","516","TC-LP-021: Verify case sensitivity of login","firefox","2026-08-26","passed","2026-08-26","Locked out user","login.spec.ts","",""
"","469","TC-LP-004: Verify login for locked out user","firefox","2026-08-26","passed","2026-08-26","Locked out user","login.spec.ts","",""
"","527","TC-LP-013: Verify login with incorrect password","firefox","2026-08-26","passed","2026-08-26","Visual User","login.spec.ts","",""
"","1548","TC-LP-001: Verify login with valid credentials","firefox","2026-08-26","passed","2026-08-26","Standard User","login.spec.ts","",""
"","909","TC-LP-023: Verify case sensitivity of login","firefox","2026-08-26","passed","2026-08-26","Performance Glitch User","login.spec.ts","",""
"","505","TC-LP-020: Verify case sensitivity of login","firefox","2026-08-26","passed","2026-08-26","Standard User","login.spec.ts","",""
"","482","TC-LP-026: Verify login with incorrect password","firefox","2026-08-26","passed","2026-08-26","Standard User","login.spec.ts","",""
"","1531","TC-LP-003: Verify logout functionality","firefox","2026-08-26","passed","2026-08-26","Standard User","login.spec.ts","",""
"","555","TC-LP-008: Verify login with visual user","firefox","2026-08-26","passed","2026-08-26","Visual User","login.spec.ts","",""
"","5635","TC-LP-006: Verify login with performance glitch user","firefox","2026-08-26","passed","2026-08-26","Performance Glitch User","login.spec.ts","",""
"","486","TC-LP-014: Verify login without entering credentials","firefox","2026-08-26","passed","2026-08-26","Standard User","login.spec.ts","",""
"","371","TC-LP-044: Check whether password is marked","firefox","2026-08-26","passed","2026-08-26","Other conditions","login.spec.ts","",""
"","572","TC-LP-010: Verify login with incorrect password","firefox","2026-08-26","passed","2026-08-26","Performance Glitch User","login.spec.ts","",""
"","534","TC-LP-009: Verify login with incorrect password","firefox","2026-08-26","passed","2026-08-26","Locked out user","login.spec.ts","",""
